Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
201,0.56,1.84,1.9,2.93,68058.39416,103594.5205,111557.1429,443459.4595,
202,0.57,1.72,1.92,2.92,69527.47253,89483.5443,114365.2174,430315.7895,
203,0.57,1.88,1.9,2.94,69527.47253,108828.169,111557.1429,457333.3333,
204,0.57,1.93,1.88,2.93,69527.47253,115800,108828.169,443459.4595,
205,0.58,1.93,1.88,2.92,71007.35294,115800,108828.169,430315.7895,
206,0.57,1.94,1.89,2.93,69527.47253,117255.8824,110182.9787,443459.4595,
207,0.57,1.92,1.9,2.92,69527.47253,114365.2174,111557.1429,430315.7895,
208,0.57,1.91,1.9,2.94,69527.47253,112951.0791,111557.1429,457333.3333,
209,0.57,1.9,1.88,2.94,69527.47253,111557.1429,108828.169,457333.3333,
210,0.57,1.91,1.87,2.94,69527.47253,112951.0791,107492.3077,457333.3333,
211,0.58,1.92,1.88,2.93,71007.35294,114365.2174,108828.169,443459.4595,
212,0.58,1.91,1.86,2.94,71007.35294,112951.0791,106175,457333.3333,
213,0.58,1.89,1.85,2.93,71007.35294,110182.9787,104875.8621,443459.4595,
214,0.57,1.88,1.84,2.93,69527.47253,108828.169,103594.5205,443459.4595,
215,0.58,1.88,1.84,2.92,71007.35294,108828.169,103594.5205,430315.7895,
216,0.57,1.88,1.85,2.92,69527.47253,108828.169,104875.8621,430315.7895,
217,0.57,1.87,1.84,2.93,69527.47253,107492.3077,103594.5205,443459.4595,
218,0.57,1.88,1.83,2.93,69527.47253,108828.169,102330.6122,443459.4595,
219,0.58,1.86,1.83,2.92,71007.35294,106175,102330.6122,430315.7895,
220,0.57,1.86,1.83,2.93,69527.47253,106175,102330.6122,443459.4595,
221,0.58,1.85,1.84,2.93,71007.35294,104875.8621,103594.5205,443459.4595,
222,0.57,1.89,1.83,2.93,69527.47253,110182.9787,102330.6122,443459.4595,
223,0.58,1.83,1.81,2.94,71007.35294,102330.6122,99853.69128,457333.3333,
224,0.57,1.95,1.82,2.94,69527.47253,118733.3333,101083.7838,457333.3333,
225,0.58,1.61,1.82,2.92,71007.35294,78308.87574,101083.7838,430315.7895,
226,0.57,1.88,1.82,2.92,69527.47253,108828.169,101083.7838,430315.7895,
227,0.57,1.92,1.8,2.93,69527.47253,114365.2174,98640,443459.4595,
228,0.57,1.91,1.8,2.94,69527.47253,112951.0791,98640,457333.3333,
229,0.58,1.9,1.82,2.93,71007.35294,111557.1429,101083.7838,443459.4595,
230,0.58,1.89,1.82,2.93,71007.35294,110182.9787,101083.7838,443459.4595,
231,0.58,1.9,1.81,2.94,71007.35294,111557.1429,99853.69128,457333.3333,
232,0.57,1.9,1.86,2.93,69527.47253,111557.1429,106175,443459.4595,
233,0.58,1.9,1.84,2.92,71007.35294,111557.1429,103594.5205,430315.7895,
234,0.58,1.88,1.82,2.93,71007.35294,108828.169,101083.7838,443459.4595,
235,0.58,1.89,1.81,2.94,71007.35294,110182.9787,99853.69128,457333.3333,
236,0.56,1.89,1.82,2.94,68058.39416,110182.9787,101083.7838,457333.3333,
237,0.56,1.83,1.82,2.93,68058.39416,102330.6122,101083.7838,443459.4595,
238,0.56,1.88,1.83,2.93,68058.39416,108828.169,102330.6122,443459.4595,
239,0.58,1.9,1.82,2.92,71007.35294,111557.1429,101083.7838,430315.7895,
240,0.58,1.89,1.83,2.94,71007.35294,110182.9787,102330.6122,457333.3333,
241,0.57,1.88,1.83,2.93,69527.47253,108828.169,102330.6122,443459.4595,
242,0.57,1.88,1.83,2.94,69527.47253,108828.169,102330.6122,457333.3333,
243,0.58,1.89,1.83,2.93,71007.35294,110182.9787,102330.6122,443459.4595,
244,0.56,1.88,1.83,2.94,68058.39416,108828.169,102330.6122,457333.3333,
245,0.58,1.9,1.83,2.93,71007.35294,111557.1429,102330.6122,443459.4595,
246,0.58,1.87,1.84,2.94,71007.35294,107492.3077,103594.5205,457333.3333,
247,0.58,1.89,1.83,2.94,71007.35294,110182.9787,102330.6122,457333.3333,
248,0.58,1.9,1.84,2.93,71007.35294,111557.1429,103594.5205,443459.4595,
249,0.57,1.88,1.83,2.94,69527.47253,108828.169,102330.6122,457333.3333,
250,0.58,1.88,1.82,2.93,71007.35294,108828.169,101083.7838,443459.4595,
251,0.58,1.88,1.83,2.94,71007.35294,108828.169,102330.6122,457333.3333,
